    [1361.67602539 2136.49926758]
    [1147.92211914  952.1161499 ]
    [1164.60766602 1410.57519531]
    [1188.19250488 1808.07885742]
    [1173.59509277 2062.80541992]
    [1201.25952148  535.64331055]
    [1201.84924316  502.70278931]
    [1228.47680664  482.29299927]
    [1280.07666016  504.05459595]
    [1190.52575684  483.84567261]
    [1176.54443359  507.20452881]
    [1363.6505127  1916.69372559]
    [1200.06152344 1863.01867676]
    [1227.24475098  959.72802734]
    [1223.5222168   846.79876709]
    [1221.09716797  738.26586914]
    [1218.76318359  633.80706787]
    [1246.89477539  632.20770264]
    [1351.42504883  628.33612061]
    [1409.88012695  830.35614014]
    [1248.68811035  788.6895752 ]
    [1213.54614258  779.60571289]
    [1139.99951172  760.59460449]
    [1147.6439209   765.43261719]
    [1191.23547363  634.26916504]
    [1098.98095703  637.68609619]
    [1052.13256836  829.41705322]
    [968.29663086 676.03918457]
    [950.19726562 642.92633057]
    [912.52130127 573.99816895]
    [964.50769043 609.92663574]
    [1310.31884766  965.4319458 ]
    [1331.25756836 1461.44262695]
    [1354.05383301 1886.38476562]
    [1354.65270996 2170.75952148]
    [1148.34655762  954.31079102]
    [1160.58666992 1423.69763184]
    [1182.15112305 1826.23083496]
    [1163.07885742 2087.04663086]
    [1200.43530273  531.44049072]
    [1199.74731445  497.92962646]
    [1226.67541504  476.06329346]
    [1282.04199219  496.09292603]
    [1188.64245605  479.37557983]
    [1177.9888916   503.92709351]
    [1361.21838379 1941.54614258]
    [1194.62097168 1880.55603027]
    [1223.34179688  962.17877197]
    [1222.49584961  846.73144531]
    [1222.34191895  735.34375   ]
    [1222.19335938  627.76751709]
    [1252.03845215  627.50671387]
    [1357.46508789  628.6151123 ]
    [1379.70275879  850.42669678]
    [1253.08898926  702.55047607]
    [1225.83679199  670.72174072]
    [1169.20178223  604.57580566]
    [1154.89160156  649.34350586]
    [1192.72766113  626.88317871]
    [1094.40856934  625.8494873 ]
    [1051.48815918  829.46862793]
    [1058.07006836  649.00750732]
    [1059.51904297  609.277771  ]
    [1062.5682373   525.67510986]
    [1115.3145752   576.33013916]
    [1306.99560547  968.00018311]
    [1320.9564209  1469.12512207]
    [1329.29199219 1898.94641113]
    [1347.25036621 2196.22363281]
    [1142.13891602  956.52789307]
    [1148.18859863 1441.7833252 ]
    [1156.32263184 1858.44299316]
    [1152.04211426 2140.41455078]
    [1206.01538086  523.20617676]
    [1205.63464355  490.54898071]
    [1231.97229004  470.93286133]
    [1285.21569824  494.8604126 ]
    [1194.08850098  474.78485107]
    [1181.57019043  504.02822876]
    [1326.8626709  1952.39196777]
    [1160.15893555 1911.75769043]
    [1221.02233887  971.48675537]
    [1220.39477539  852.56536865]
    [1220.75708008  738.46478271]
    [1221.10522461  628.83837891]
